BoreholeID,GeologyID,DepthTop,DepthBase
BH-001,Undefined,0.3,21.34
BH-001,ASPHALT,0,0.3
BH-001,TTC-G4,23.93,25.45
BH-002,ASPHALT,0,0.3
BH-003,ASPHALT,0,0.28
BH-003,FILL,0.58,1.52
BH-003,FILL,2.29,3.05
BH-004,TTC-G3N,14.8,17.8
BH-004,TTC-G4,8.7,11.7
BH-005,TTC-G3N,14.78,16.31
BH-005,TTC-G3N,3.81,8.7
BH-005,FILL,1.1,1.8
BH-005,ASPHALT,0,0.28
BH-005,TTC-G5,16.31,18.3
BH-005,TTC-G4,8.7,11.73
BH-005,FILL,0.28,0.58
BH-004,ASPHALT,0,0.21
BH-006,FILL,0.52,1.52
BH-006,ASPHALT,0,0.15
BH-005,TTC-G3N,23.93,27.69
BH-007,TOPSOIL,0,0.15
BH-008,FILL,0.13,0.45
BH-008,FILL,0.76,1.52
BH-008,TTC-G3N,2.29,5.33
BH-008,ASPHALT,0,0.13
BH-009,TTC-G3N,2,4.57
BH-009,TOPSOIL,0,0.2
BH-009,TTC-G5,16.31,19.35
BH-009,FILL,0.76,2
BH-010,TTC-G3N,0.76,4.57
BH-010,TTC-G5,16.31,19.35
BH-010,TOPSOIL,0,0.15
BH-011,ASPHALT,0,0.13
BH-011,TTC-G4,13.26,16.31
BH-003,TTC-G3N,13.26,17.83
BH-003,TTC-G3N,3.81,7.16
BH-002,FILL,0.3,1
BH-002,TTC-G3N,6.1,7.16
BH-002,FILL,5.33,6.1
BH-002,FILL,2.29,3.5
BH-001,TTC-G4,30.02,31.09
BH-011,TTC-G3N,2.29,5.33
BH-012,TTC-G3N,23.93,27.69
BH-012,TTC-G4,8.7,13.26
BH-012,ASPHALT,0,0.32
BH-012,TTC-G5,13.26,19.35
BH-012,TTC-G3N,3.05,7.16
BH-013,Undefined,0.25,3.05
BH-013,TTC-G5,7.16,9.5
BH-013,ASPHALT,0,0.25
BH-013,TTC-G5,14.5,17.8
BH-013,TTC-G3N,25.45,30.89
BH-014,FILL,0.05,1.52
BH-015,TTC-G3N,1,3.05
BH-015,TTC-G4,14.78,17.83
BH-015,FILL,0.46,1
BH-015,TTC-G5,17.83,19.35
BH-015,ASPHALT,0,0.1
BH-015,TTC-G3N,5.33,14.78
BH-014,TOPSOIL,0,0.05
BH-016,TTC-G4,26.97,27.61
BH-016,TTC-G3N,1.52,8.7
BH-016,ASPHALT,0,0.1
BH-016,TTC-G4,10.2,11.73
BH-016,TTC-G5,16.31,19.35
BH-016,FILL,0.25,0.76
BH-017,ASPHALT,0,0.13
BH-017,TTC-G3N,3.05,8.23
BH-018,ASPHALT,0,0.3
BH-018,TTC-G3N,13.26,14.78
BH-018,TTC-G3N,7.16,10.2
BH-018,TTC-G5,16.31,17.83
BH-019,FILL,0.03,0.76
BH-019,TTC-G4,17.83,19.35
BH-019,TTC-G5,15.57,16.31
BH-019,ASPHALT,0,0.03
BH-019,TTC-G3N,2.29,4.57
BH-019,TTC-G4,30.02,30.61
BH-020,TTC-G5,11.73,15.39
BH-020,TTC-G5,7.16,8.69
BH-020,ASPHALT,0,0.15
BH-020,TTC-G5,16.31,19.35
BH-021,Undefined,0.27,3.05
BH-021,TTC-G4,23.93,26.97
BH-021,TTC-G3N,13.26,18.42
BH-021,ASPHALT,0,0.27
BH-022,TTC-G3N,25.45,28.02
BH-022,FILL,0.23,0.53
BH-022,ASPHALT,0,0.23
BH-022,TTC-G5,13.26,17.83
BH-022,TTC-G3N,7.16,13.26
BH-023,TOPSOIL,0,0.3
BH-023,FILL,1.52,2.29
BH-023,TTC-G4,28.5,31.55
BH-023,TTC-G5,20.12,20.88
BH-023,TTC-G4,8.7,11.73
BH-024,FILL,1.52,3.25
BH-024,TTC-G3N,15.24,18.29
BH-024,TTC-G4,27.74,29.95
BH-024,TTC-G5,6.86,8.28
BH-025,TTC-G3N,4.27,7.16
BH-025,FILL,0.76,1.52
BH-025,TTC-G3N,1.52,2.29
BH-025,TOPSOIL,0,0.3
BH-025,TTC-G4,7.16,8.7
BH-025,TTC-G4,26.97,30.02
BH-026,FILL,3.05,5.49
BH-026,FILL,1.52,3.05
BH-026,FILL,0.15,1.52
BH-026,TTC-G3N,5.49,13.29
BH-026,TOPSOIL,0,0.15
BH-027,FILL,0,0.3
BH-028,FILL,0,0.28
BH-029,FILL,0,0.2
BH-030,TTC-G4,17.8,19.3
BH-030,TTC-G4,27.1,31.6
BH-030,TOPSOIL,0,0.1
BH-030,FILL,0.1,2.3
BH-030,TTC-G2,8.4,13.3
BH-030,TTC-G2,2.3,4.6
BH-031,FILL,0,0.68
BH-032,ASPHALT,0.2,0.43
BH-033,TTC-G6,25.45,30.86
BH-033,TTC-G3N,20.88,25.45
BH-033,TTC-G1,19.35,20.88
BH-033,TTC-G2,4.88,5.64
BH-033,TTC-G4,3.81,4.27
BH-033,TTC-G3N,0.25,3.81
BH-033,TOPSOIL,0,0.08
BH-033,TTC-G3N,5.64,11.73
BH-033,TTC-G2,11.73,13.26
BH-033,ASPHALT,0.08,0.25
BH-033,TTC-G3N,13.26,19.35
BH-033,TTC-G3N,4.27,4.88
BH-030,TTC-G3C,37.6,40.23
BH-034,FILL,0.46,3.05
BH-034,ASPHALT,0,0.15
BH-034,FILL,0.15,0.46
BH-034,FILL,3.05,3.81
BH-034,TTC-G6,30.02,30.78
BH-034,TTC-G3N,3.81,7.16
BH-034,TTC-G3N,7.16,20.88
BH-034,TTC-G2,25.45,26.97
BH-035,ALLUVIUM,3.35,4.57
BH-035,TOPSOIL,0,0.15
BH-035,FILL,0.15,2.29
BH-035,FILL,2.29,3.35
BH-035,TTC-G3N,4.57,7.16
BH-035,TTC-G6,23.93,35.2
BH-036,FILL,0,1.52
BH-035,TTC-G2,35.2,40.23
BH-037,FILL,0,0.76
BH-038,FILL,0,0.3
BH-039,FILL,0,0.23
BH-040,FILL,0,0.3
BH-041,FILL,0,0.15
BH-042,FILL,0,0.08
BH-042,FILL,0.69,1.98
BH-043,FILL,0,0.3
BH-044,FILL,0,0.2
BH-045,FILL,0,0.03
BH-046,FILL,0,0.22
BH-047,FILL,0,0.24
BH-048,FILL,0,1.07
BH-049,FILL,0,2.44
BH-050,FILL,0,0.22
BH-051,FILL,0,0.3
BH-052,FILL,0,2.21
BH-053,FILL,0,1.83
BH-054,FILL,0,0.23
BH-055,FILL,0,0.12
BH-056,FILL,0,0.91
BH-057,FILL,0,0.28
BH-058,FILL,0,0.2
BH-059,FILL,0,0.2
BH-060,FILL,0,0.3
BH-061,FILL,0,0.15
BH-062,FILL,0,0.23
BH-063,FILL,0,1.45
BH-064,FILL,0,0.08
BH-065,FILL,0,1.83
BH-066,FILL,0,0.24
BH-067,FILL,0,3.73
BH-068,FILL,0,1.07
BH-068,TTC-G6,5.64,7.01
BH-069,FILL,0,0.1
BH-070,FILL,0,0.28
BH-071,FILL,0,0.15
BH-072,FILL,0,0.08
BH-073,FILL,0,1.22
BH-074,FILL,0,3.05
BH-075,FILL,0,1.52
BH-076,FILL,0,3.05
BH-077,FILL,0,0.25
BH-078,FILL,0,2.59
BH-079,FILL,0,0.76
BH-080,FILL,0,3.73
BH-081,FILL,0,3.05
BH-082,FILL,0,0.69
BH-083,FILL,0,0.61
BH-084,FILL,0,3.05
BH-085,FILL,0,1.45
BH-087,FILL,0,0.15
BH-088,FILL,0,1.45
BH-089,FILL,0,5.33
BH-090,FILL,0,0.1
BH-092,FILL,0,1.45
BH-093,FILL,0,0.7
BH-094,FILL,0,0.15
BH-095,FILL,0,0.08
BH-096,FILL,0,0.16
BH-097,FILL,0,0.17
BH-099,FILL,0,0.69
BH-100,FILL,0,0.3
BH-101,FILL,0,0.69
BH-102,FILL,0,0.77
BH-103,FILL,0,0.07
BH-104,FILL,0,0.46
BH-104,Undefined,0.76,3.05
BH-105,FILL,0,4.5
BH-106,FILL,0,5.64
BH-107,FILL,0,1.52
BH-108,FILL,0,0.37
BH-109,FILL,0,0.69
BH-110,FILL,0,0.69
BH-111,FILL,0,0.69
BH-112,FILL,0,3.66
BH-113,FILL,0,2.29
BH-114,FILL,0,1.45
BH-115,FILL,0,1.45
BH-116,FILL,0,0.14
BH-117,FILL,0,1.45
BH-118,FILL,0,1.45
BH-119,FILL,0,0.76
BH-120,FILL,0,0.12
BH-121,FILL,0,0.3
BH-122,FILL,0,0.69
BH-123,FILL,0,1.45
BH-124,FILL,0,0.15
BH-125,FILL,0.1,0.4
